Marca temporal,Perfil principal,Edad aproximada,Cantidad de trabajo en el que se necesita uso de pantalla,Carga de trabajo o estudio total durante las últimas semanas,Calidad de sueño: teniendo en cuanta tanto la cantidad como la calidad,Tiempo frente a la pantalla por motivos de estudio o trabajo,Tiempo aproximado frente a pantallas fuera del trabajo o estudio,"Ambiente laboral/estudio: ¿cuánto apoyo sientes por parte de compañeros, familia, profesores o entorno cercano?  ","Durante una jornada normal, ¿cuántas pausas reales de 5–10 minutos haces para desconectar?","Durante las últimas semanas, ¿qué nivel de agotamiento has percibido con respecto a el trabajo/estudio?","Durante las últimas dos semanas, he sentido que me costaba recuperar energía después de estudiar o trabajar.","Agotamiento emocional: Durante las últimas dos semanas, he sentido menos interés o motivación por mis tareas habituales.","Eficacia personal: durante las últimas dos semanas, he sentido que soy capaz de cumplir adecuadamente con mis responsabilidades.","Dificultad para desconectar: ¿Te cuesta desconectar del móvil, correo, campus virtual o herramientas de trabajo fuera de tu horario?",Presión digital externa: ¿Recibes notificaciones relacionadas con estudio/trabajo fuera de tu horario habitual?,¿Te gustaría recibir recomendaciones de desconexión digital si el sistema detecta riesgo moderado o alto?,¿Qué tipo de recomendación te resultaría más útil?
29/04/2026 23:13:17,Trabajador/a,Más de 35,Alta,Manejable,Pobre,Excesivo(>6h),Medio(1-2h),Neutro,Mínimo (1-2),Elevado,Algunas veces,Esporádicamente,Alta,Moderada,Raramente,Si,Pausas
29/04/2026 23:24:35,Estudiante,18–25,Alta,Manejable,Aceptable,Excesivo(>6h),Alto(2-6h),Mucho,Bastantes(2-4),Ordinario,Algunas veces,Frecuentemente,Moderada,Moderada,Constantemente,No,Organización
29/04/2026 23:27:15,Estudiante,18–25,Media(6-8h),Manejable,Aceptable,Alto(2-6h),Alto(2-6h),Neutro,Mínimo (1-2),Ordinario,Casi nunca,Escasamente,Alta,Moderada,Ocasionalmente,No,Organización
29/04/2026 23:27:41,Estudiante,18–25,Media(6-8h),Manejable,Aceptable,Alto(2-6h),Alto(2-6h),Mucho,Ningua,Ordinario,A veces,Esporádicamente,Alta,Baja difcultad,Constantemente,Si,Organización
29/04/2026 23:38:40,Estudiante,18–25,Media(6-8h),Ligera,Fantástica,Alto(2-6h),Alto(2-6h),Neutro,Bastantes(>4),Ordinario,Casi nunca,Escasamente,Moderada,Moderada,Ocasionalmente,No,Sueño
29/04/2026 23:42:24,Estudiante,18–25,Media(6-8h),Manejable,Pobre,Alto(2-6h),Excesivo(>6),Mucho,,,,Frecuentemente,Alta,Alta dicultad,Raramente,Si,Sueño
29/04/2026 23:43:06,Estudiante,18–25,Media(6-8h),Manejable,Aceptable,Alto(2-6h),Alto(2-6h),Mucho,Mínimo (2-4),Elevado,Algunas veces,Frecuentemente,Moderada,Alta dicultad,Constantemente,Si,Organización
30/04/2026 0:00:51,Ambas,18–25,Media(6-8h),Abrumadora,Aceptable,Alto(2-6h),Alto(2-6h),Mucho,Bastantes(>4),Elevado,A veces,Esporádicamente,Alta,Alta dicultad,Constantemente,Si,Organización
30/04/2026 0:37:12,Trabajador/a,18–25,Baja(<4h),Abrumadora,Insuficiente,Escaso(<1h),Alto(2-6h),Neutro,Mínimo (2-4),Elevado,A veces,Esporádicamente,Moderada,Alta dicultad,Constantemente,Si,Sueño
30/04/2026 0:51:59,Estudiante,18–25,Media(6-8h),Abrumadora,Aceptable,Alto(2-6h),Escaso(<1h),Neutro,Bastantes(>4),Ordinario,Algunas veces,Frecuentemente,Moderada,Alta dicultad,Ocasionalmente,Si,Pausas
30/04/2026 10:15:55,Ambas,Más de 35,Media(6-8h),Manejable,Aceptable,Alto(2-6h),Medio(1-2h),Mucho,Mínimo (2-4),,Algunas veces,Esporádicamente,Alta,Alta dicultad,Constantemente,Si,Organización
30/04/2026 10:24:45,Estudiante,18–25,Media(6-8h),Manejable,Aceptable,Alto(2-6h),Medio(1-2h),Neutro,Mínimo (2-4),Ordinario,Algunas veces,Escasamente,Moderada,Moderada,Ocasionalmente,No,Pantallas
30/04/2026 10:26:02,Trabajador/a,25–35,Media(6-8h),Manejable,Aceptable,Alto(2-6h),Medio(1-2h),Mucho,Ningua,Ordinario,Algunas veces,Esporádicamente,Alta,Baja difcultad,Raramente,Si,Pausas
